objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
canto_i,,Canto I,,José Hernández,Imprenta de La Pampa,1872,En este canto se presenta el gaucho cantor a iniciar el relato de sus desventuras. Como los poetas antiguos pide inspiración a los santos para poder transmitir su historia.,verso; impreso; gaucho cantor,Buenos Aires,-34.6,-58.4333,University of California,,,p.7-10,,,español,transcripciones,,/objects/small/MF-portada.jpg,/objects/thumbs/MF-portada.jpg,,/objects/transcripciones/mf-c1.html
c.i-p.7,canto_i,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.7-C.I.jpg,objects/small/MF-p.7-C.I.jpg,objects/thumbs/MF-p.7-C.I.jpg,,
c.i-p.8,canto_i,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.8-C.I.jpg,objects/small/MF-p.8-C.I.jpg,objects/thumbs/MF-p.8-C.I.jpg,,
c.i-p.9,canto_i,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.9-C.I.jpg,objects/small/MF-p.9-C.I.jpg,objects/thumbs/MF-p.9-C.I.jpg,,
c.i-p.10,canto_i,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.10-C.I.jpg,objects/small/MF-p.10-C.I.jpg,objects/thumbs/MF-p.10-C.I.jpg,,
canto_ii,,Canto II,,José Hernández,Imprenta de La Pampa,1872,En este canto se añoran los tiempos felices de antes donde el gaucho vivía tranquilo. Relata las labores a las que se dedicaban y la abundancia en la que vivían. Finaliza el canto dando a entender que todo eso se ha perdido por los cambios de gobierno que se han producido (los liberales han asumido el gobierno).,verso; impreso; los buenos tiempos,Buenos Aires,-34.6,-58.4333,University of California,,,p.10-14,,,español,transcripciones,,objects/small/MF-p.10-C.II.jpg,objects/thumbs/MF-p.10-C.II.jpg,,/objects/transcripciones/mf-c2.html
c.ii-p.10,canto_ii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.10-C.II.jpg,objects/small/MF-p.10-C.II.jpg,objects/thumbs/MF-p.10-C.II.jpg,,
c.ii-p.11,canto_ii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.11-C.II.jpg,objects/small/MF-p.11-C.II.jpg,objects/thumbs/MF-p.11-C.II.jpg,,
c.ii-p.12,canto_ii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.12-C.II.jpg,objects/small/MF-p.12-C.II.jpg,objects/thumbs/MF-p.12-C.II.jpg,,
c.ii-p.13,canto_ii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.13-C.II.jpg,objects/small/MF-p.13-C.II.jpg,objects/thumbs/MF-p.13-C.II.jpg,,
c.ii-p.14,canto_ii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.14-C.II.jpg,objects/small/MF-p.14-C.II.jpg,objects/thumbs/MF-p.14-C.II.jpg,,
canto_iii,,Canto III,,José Hernández,Imprenta de La Pampa,1872,En este canto se nos explica como iniciaron sus desgracias al ser aprehendido por el juez de paz y enviado a la frontera en parte por no haber votado en las últimas elecciones. Continua describiendo como era el fortín al que los enviaron y la pobreza en la que vivían. Deja entrever la inutilidad de los que allí enviaban como la desprotección y falta de recursos para enfrentar los malones.,verso; impreso; en el fortín; el malón; los indios,Buenos Aires,-34.6,-58.4333,University of California,,,p.14-22,,,español,transcripciones,,objects/small/MF-p.14-C.III.jpg,objects/thumbs/MF-p.14-C.III.jpg,,/objects/transcripciones/mf-c3.html
c.iii-p.14,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.14-C.III.jpg,objects/small/MF-p.14-C.III.jpg,objects/thumbs/MF-p.14-C.III.jpg,,
c.iii-p.15,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.15-C.III.jpg,objects/small/MF-p.15-C.III.jpg,objects/thumbs/MF-p.15-C.III.jpg,,
c.iii-p.16,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.16-C.III.jpg,objects/small/MF-p.16-C.III.jpg,objects/thumbs/MF-p.16-C.III.jpg,,
c.iii-p.17,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.17-C.III.jpg,objects/small/MF-p.17-C.III.jpg,objects/thumbs/MF-p.17-C.III.jpg,,
c.iii-p.18,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.18-C.III.jpg,objects/small/MF-p.18-C.III.jpg,objects/thumbs/MF-p.18-C.III.jpg,,
c.iii-p.19,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.19-C.III.jpg,objects/small/MF-p.19-C.III.jpg,objects/thumbs/MF-p.19-C.III.jpg,,
c.iii-p.20,canto_iii,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.20-C.III.jpg,objects/small/MF-p.20-C.III.jpg,objects/thumbs/MF-p.20-C.III.jpg,,
